CNES,TOTAL_LEITOS_SUS,PORTE
0049247,0,Pequeno
0086673,205,Grande
0106518,0,Pequeno
0133094,0,Pequeno
0153087,20,Pequeno
0178918,4,Pequeno
0183229,3,Pequeno
0228753,0,Pequeno
0250155,0,Pequeno
0454788,2,Pequeno
0631361,9,Pequeno
0653217,0,Pequeno
0795887,21,Pequeno
0852465,0,Pequeno
0905623,0,Pequeno
2327945,86,Medio
2327953,25,Pequeno
2327961,27,Pequeno
2327996,0,Pequeno
2328003,105,Medio
2328011,0,Pequeno
2328038,21,Pequeno
2328046,143,Medio
2328070,16,Pequeno
2328100,28,Pequeno
2328119,31,Pequeno
2328372,52,Medio
2328380,100,Medio
2328399,131,Medio
2328402,43,Pequeno
2328429,34,Pequeno
2328437,12,Pequeno
2328445,20,Pequeno
2333716,54,Medio
2333740,11,Pequeno
2333813,11,Pequeno
2333848,15,Pequeno
2333856,9,Pequeno
2333864,20,Pequeno
2333880,50,Pequeno
2333899,50,Pequeno
2333902,12,Pequeno
2371847,12,Pequeno
2372150,95,Medio
2372193,1,Pequeno
2372207,30,Pequeno
2372460,14,Pequeno
2372479,44,Pequeno
2372487,44,Pequeno
2372495,18,Pequeno
2372509,19,Pequeno
2372517,48,Pequeno
2372568,17,Pequeno
2372622,37,Pequeno
2372673,17,Pequeno
2372819,60,Medio
2372967,67,Medio
2373009,54,Medio
2373270,51,Medio
2373475,21,Pequeno
2373971,86,Medio
2374064,48,Pequeno
2414848,47,Pequeno
2414864,49,Pequeno
2414872,40,Pequeno
2414996,29,Pequeno
2415461,70,Medio
2415488,146,Medio
2415496,79,Medio
2415623,59,Medio
2415631,2,Pequeno
2415658,28,Pequeno
2425300,66,Medio
2425343,50,Pequeno
2425432,76,Medio
2425599,50,Pequeno
2426072,45,Pequeno
2426099,0,Pequeno
2426218,13,Pequeno
2426420,2,Pequeno
2426455,19,Pequeno
2426579,110,Medio
2426730,33,Pequeno
2426749,28,Pequeno
2427125,60,Medio
2427133,32,Pequeno
2427176,56,Medio
2427184,40,Pequeno
2478080,53,Medio
2478277,36,Pequeno
2478285,0,Pequeno
2478307,21,Pequeno
2478374,17,Pequeno
2478617,2,Pequeno
2478994,24,Pequeno
2479028,66,Medio
2479214,458,Grande
2479419,28,Pequeno
2479427,18,Pequeno
2479478,30,Pequeno
2479710,26,Pequeno
2479818,24,Pequeno
2479893,19,Pequeno
2479907,80,Medio
2480026,240,Grande
2480050,29,Pequeno
2480565,7,Pequeno
2480638,5,Pequeno
2480646,145,Medio
2480654,49,Pequeno
2481073,164,Grande
2481103,0,Pequeno
2481286,196,Grande
2482258,1,Pequeno
2482339,67,Medio
2497654,565,Especial
2499029,52,Medio
2499037,37,Pequeno
2499045,21,Pequeno
2499339,44,Pequeno
2499363,308,Grande
2514710,57,Medio
2514729,105,Medio
2516632,72,Medio
2516640,76,Medio
2516667,69,Medio
2516683,75,Medio
2526638,425,Grande
2526662,23,Pequeno
2526670,9,Pequeno
2527057,28,Pequeno
2527065,25,Pequeno
2527413,135,Medio
2527669,13,Pequeno
2527677,27,Pequeno
2527685,31,Pequeno
2527693,82,Medio
2527707,111,Medio
2528282,40,Pequeno
2528681,0,Pequeno
2528843,207,Grande
2529025,0,Pequeno
2529068,125,Medio
2529149,602,Especial
2529386,88,Medio
2529394,130,Medio
2529424,160,Grande
2529475,85,Medio
2552086,160,Grande
2552345,19,Pequeno
2554518,51,Medio
2554623,28,Pequeno
2554658,18,Pequeno
2554755,12,Pequeno
2554771,26,Pequeno
2554798,44,Pequeno
2560828,54,Medio
2560836,27,Pequeno
2560852,131,Medio
2560941,3,Pequeno
2560976,22,Pequeno
2560984,31,Pequeno
2560992,35,Pequeno
2561018,38,Pequeno
2561026,51,Medio
2561034,14,Pequeno
2561042,14,Pequeno
2561050,20,Pequeno
2561069,20,Pequeno
2561298,17,Pequeno
2561328,50,Pequeno
2561336,52,Medio
2561344,42,Pequeno
2561352,46,Pequeno
2561395,46,Pequeno
2561409,26,Pequeno
2561417,116,Medio
2561425,78,Medio
2561433,50,Pequeno
2561441,23,Pequeno
2561468,28,Pequeno
2561484,1,Pequeno
2561492,203,Grande
2561891,26,Pequeno
2562138,51,Medio
2562146,16,Pequeno
2562154,41,Pequeno
2562162,13,Pequeno
2562200,20,Pequeno
2562227,13,Pequeno
2562316,146,Medio
2562391,42,Pequeno
2562472,0,Pequeno
2562480,0,Pequeno
2562499,121,Medio
2562545,56,Medio
2562685,0,Pequeno
2562871,71,Medio
2563347,16,Pequeno
2563355,21,Pequeno
2563363,20,Pequeno
2563460,56,Medio
2563479,21,Pequeno
2563487,31,Pequeno
2563681,387,Grande
2564211,247,Grande
2564238,102,Medio
2564505,2,Pequeno
2564580,14,Pequeno
2564769,16,Pequeno
2611058,9,Pequeno
2611201,17,Pequeno
2611295,78,Medio
2611309,103,Medio
2611465,13,Pequeno
2611481,54,Medio
2611635,63,Medio
2611643,21,Pequeno
2611686,79,Medio
2644975,6,Pequeno
2651351,90,Medio
2651394,184,Grande
2663953,5,Pequeno
2664151,50,Pequeno
2664283,16,Pequeno
2664364,20,Pequeno
2664372,21,Pequeno
2664666,51,Medio
2664690,28,Pequeno
2665190,68,Medio
2675536,87,Medio
2675560,151,Grande
2695839,64,Medio
2705923,25,Pequeno
2723190,4,Pequeno
2723212,75,Medio
2723220,80,Medio
2723255,55,Medio
2724308,40,Pequeno
2724359,25,Pequeno
2726351,7,Pequeno
2785900,360,Grande
2785927,6,Pequeno
2795329,5,Pequeno
2806215,162,Grande
2806339,48,Pequeno
2841118,7,Pequeno
2886529,4,Pequeno
3001113,1,Pequeno
3002470,0,Pequeno
3007898,0,Pequeno
3012778,0,Pequeno
3021114,422,Grande
3030849,0,Pequeno
3047091,0,Pequeno
3051803,2,Pequeno
3053687,0,Pequeno
3055426,4,Pequeno
3089584,0,Pequeno
3095487,0,Pequeno
3148904,0,Pequeno
3160130,0,Pequeno
3179753,0,Pequeno
3186326,0,Pequeno
3189546,19,Pequeno
3232891,4,Pequeno
3242587,2,Pequeno
3259749,0,Pequeno
3283437,14,Pequeno
3295311,0,Pequeno
3302490,56,Medio
3334473,0,Pequeno
3345866,0,Pequeno
3384993,25,Pequeno
3394484,0,Pequeno
3394514,0,Pequeno
3401146,0,Pequeno
3415562,0,Pequeno
3432106,0,Pequeno
3470776,0,Pequeno
3493962,0,Pequeno
3528618,5,Pequeno
3541428,0,Pequeno
3541436,0,Pequeno
3546527,0,Pequeno
3616711,12,Pequeno
3759148,50,Pequeno
3809544,0,Pequeno
4010779,70,Medio
4010825,50,Pequeno
4010868,110,Medio
4011325,0,Pequeno
4011457,80,Medio
4226267,2,Pequeno
4326709,0,Pequeno
4352726,15,Pequeno
4527372,90,Medio
4682092,1,Pequeno
4834712,0,Pequeno
4873971,2,Pequeno
4877438,1,Pequeno
4887514,2,Pequeno
4889010,1,Pequeno
4889584,2,Pequeno
4891392,3,Pequeno
4892631,2,Pequeno
4896122,0,Pequeno
5018110,65,Medio
5077680,51,Medio
5121957,2,Pequeno
5162270,8,Pequeno
5162327,5,Pequeno
5168333,10,Pequeno
5247896,0,Pequeno
5292190,58,Medio
5352606,0,Pequeno
5360374,0,Pequeno
5383382,0,Pequeno
5456312,0,Pequeno
5590663,8,Pequeno
5846390,0,Pequeno
5907616,2,Pequeno
5928605,10,Pequeno
6044433,0,Pequeno
6193706,9,Pequeno
6273181,2,Pequeno
6297056,0,Pequeno
6393144,2,Pequeno
6538460,0,Pequeno
6558895,32,Pequeno
6619908,9,Pequeno
6635741,0,Pequeno
