CNES,HOSPITAL,Latitude,Longitude,PORTE
2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,,,Grande
3242587,HOSPITAL REGIONAL UNIMED,,,Pequeno
2527057,CASA DE SAUDE E MATERNIDADE SAO RAIMUNDO,,,Pequeno
2563347,HOSPITAL ANTONIO ROSENO DE MATOS,,,Pequeno
2373009,HOSPITAL E MATERNIDADE SANTA LUISA DE MARILLAC,,,Medio
2372487,HOSP MATERN LIA LOIOLA DE ALENCAR,,,Pequeno
2328038,HOSPITAL MUNICIPAL DE ARNEIROZ,,,Pequeno
2552345,HOSPITAL SAO FRANCISCO,,,Pequeno
2373475,HOSPITAL DE BARREIRA,,,Pequeno
2611635,INCRI,,,Medio
2561034,HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE,,,Pequeno
2425343,HOSP MATERN GERALDO L BOTELHO,,,Pequeno
2333864,HOSPITAL MUNICIPAL DR GENTIL DOMINGUES,,,Pequeno
2562545,HOSP MATERNIDADE SANTA TEREZINHA,,,Medio
2327953,HOSPITAL MUNICIPAL ELIZETE CARDOSO P PACHECO,,,Pequeno
2328070,HOSPITAL MATERNIDADE PE JOSE BEZERRA FILHO,,,Pequeno
2328437,HOSPITAL MUNICIPAL SAO BERNARDO,,,Pequeno
2526670,HOSPITAL MUNICIPAL FRANCISCO NOGUEIRA DE QUEIROZ,,,Pequeno
2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,,,Grande
2373971,CENTRO DE NEURORREABILITACAO SARAH FORTALEZA,,,Medio
6558895,PRONTOCARDIO SERVICOS MEDICOS HOSPITALARES LTDA,,,Pequeno
3189546,HOSPITAL SAO CARLOS,,,Pequeno
2886529,,,,Pequeno
6759122,INSTITUTO CLAREAR,,,Pequeno
2529068,HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER,,,Medio
2529394,HOSPITAL PSIQUIATRICO SAO VICENTE DE PAULO,,,Medio
2529424,INSTITUICAO ESPIRITA NOSSO LAR,,,Grande
2529386,HOSPITAL MENINO JESUS,,,Medio
2526638,SOPAI HOSPITAL INFANTIL,,,Grande
5121957,ESCOLA CEARENSE DE OFTALMOLOGIA,,,Pequeno
2480638,HOSPITAL DE OLHOS LEIRIA DE ANDRADE,,,Pequeno
2480565,INSTITUTO DE CEGOS DO CEARA,,,Pequeno
2664364,HOSPITAL MUNICIPAL DOM ALOISIO LORSCHEIDER,,,Pequeno
2333740,HOSPITAL MUNICIPAL DE GUARAMIRANGA,,,Pequeno
2664372,HOSPITAL MUNICIPAL ANTONIO CAVALCANTE DE QUEIROZ,,,Pequeno
5292190,HOSPITAL SAO VICENTE IESA,,,Medio
2414848,HOSPITAL MUNICIPAL CEL JOAO GOMES COUTINHO,,,Pequeno
2554771,HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS,,,Pequeno
2372673,UNID MISTA JOSEFA MA CONCEICAO,,,Pequeno
2426730,HOSP MUNICIPAL DE JATI,,,Pequeno
2562499,HOSPITAL MATERNIDADE SAO LUCAS,,,Medio
2554518,HOSPITAL SAO VICENTE FERRER,,,Medio
2372207,HOSPITAL ANA LIMA,,,Pequeno
2414864,HOSP MATERN F FARIAS LEITAO,,,Pequeno
2563479,HOSPITAL MUNICIPAL DE MORRINHOS,,,Pequeno
2561026,HOSP MUNIC DR CICERO F FILHO,,,Medio
2664690,HOSPITAL MATERNIDADE DR ARAMIS PAIVA,,,Pequeno
2561409,HOSPITAL MUNICIPAL PEQUENO PORTE LUIZ ROBERTO PESSOA AIRES,,,Pequeno
2480050,MATERNIDADE QUITERIA DE LIMA,,,Pequeno
2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,,,Medio
2425300,HOSPITAL DO CORACAO,,,Medio
2426579,HOSPITAL MUNICIPAL ESTEVAM PONTE,,,Medio
2564580,UNID MISTA NOSSA SRA DAS ANGUSTIAS,,,Pequeno
2426218,HOSPITAL MUNICIPAL DR WALDEMAR DE ALCANTARA,,,Pequeno
2499045,HOSPITAL DE PEQUENO PORTE DE UMARI ECILDA BARBOSA RIBEIRO,,,Pequeno
2478307,HOSPITAL MUNICIPAL DE URUOCA RANDEGLACIO GOMES CARNEIRO,,,Pequeno
3528618,HOSPITAL UNIMED SUL,,,Pequeno
9658815,ICO,,,Pequeno
2415631,HOSPITAL ANTONIO PRUDENTE,,,Pequeno
3055426,HOSPITAL MONTE KLINIKUM,,,Pequeno
6273181,,,,Pequeno
2561484,HOSPITAL DE OLHOS NEUSA ROCHA,,,Pequeno
3232891,CENTRO AVANCADO DE RETINA E CATARATA,,,Pequeno
5907616,,,,Pequeno
4527372,,,,Medio
3283437,ICCA INSTITUTO DO CORACAO DA CRIANCA E DO ADOLESCENTE,,,Pequeno
