CNES;HOSPITAL;Latitude;Longitude;PORTE
2480026;HOSPITAL DE SAUDE MENTAL DE MESSEJANA;-3.8218113889269687;-38.4836803296976;Grande  
3242587;HOSPITAL REGIONAL UNIMED;-3.75622082034693;-38.520657466009574;Pequeno  
2527057;CASA DE SAUDE E MATERNIDADE SAO RAIMUNDO;-3.730774534089497;-38.50615751739406;Pequeno 
2563347;HOSPITAL ANTONIO ROSENO DE MATOS;-6.765805433552555;-39.979264571176266;Pequeno  
2373009;HOSPITAL E MATERNIDADE SANTA LUISA DE MARILLAC;-4.562208807071716;-37.77036450508371;Medio 
2372487;HOSP MATERN LIA LOIOLA DE ALENCAR;-7.213563302546060;-40.13637969243444;Pequeno
2328038;HOSPITAL MUNICIPAL DE ARNEIROZ;-6.317314357252552;-40.16482268844805;Pequeno
2552345;HOSPITAL SAO FRANCISCO;-6.728778115621996;-38.715629159387746;Pequeno
2373475;HOSPITAL DE BARREIRA;-4.279981753263235;-38.636318803082226;Pequeno
2611635;INCRI;-7.487798439365984;-38.990137955863645;Medio
2561034;HOSPITAL E MATERNIDADE NOSSA SENHORA DE NAZARE;-4.4657129924138275;-38.9038763017703;Pequeno
2425343;HOSP MATERN GERALDO L BOTELHO;-7.039834011970959;-39.276539702339235;Pequeno
2333864;HOSPITAL MUNICIPAL DR GENTIL DOMINGUES;-6.13250850508639;-39.874901128385915;Pequeno
2562545;HOSP MATERNIDADE SANTA TEREZINHA;-3.7718857075592402;-38.62652155369603;Medio
2327953;HOSPITAL MUNICIPAL ELIZETE CARDOSO P PACHECO;-3.035485780568243;-41.238360950572854;Pequeno
2328070;HOSPITAL MATERNIDADE PE JOSE BEZERRA FILHO;-4.855342347186748;-39.133840235433446;Pequeno
2328437;HOSPITAL MUNICIPAL SAO BERNARDO;-5.916552668165437;-39.26551273860898;Pequeno
2526670;HOSPITAL MUNICIPAL FRANCISCO NOGUEIRA DE QUEIROZ;-6.028244092940372;-38.34796662479939;Pequeno
2481286;MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND;-3.7483734544606415;-38.55287956928848;Grande
2373971;CENTRO DE NEURORREABILITACAO SARAH FORTALEZA;-3.818094106650346;-38.53419671099119;Medio
6558895;PRONTOCARDIO SERVICOS MEDICOS HOSPITALARES LTDA;-3.7286630097825624;-38.505585032909934;Pequeno
3189546;HOSPITAL SAO CARLOS;-3.7508609510641544;-38.498951684556914;Pequeno
2886529;HOSPITAL DE OLHOS VISAO MASTER E ESPECIALIDADES;-3.733230732214966;-38.55735287716332;Pequeno
6759122;INSTITUTO CLAREAR;-3.751395113238347;-38.549181429479844;Pequeno
2529068;HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER;-3.8306611201892906;-38.55699830224167;Medio
2529394;HOSPITAL PSIQUIATRICO SAO VICENTE DE PAULO;-3.7675435099904924;-38.560445089817236;Medio
2529424;INSTITUICAO ESPIRITA NOSSO LAR;-3.7407540082314163;-38.54117740473265;Grande
2529386;HOSPITAL MENINO JESUS;-3.7776249757031874;-38.56297027699574;Medio
2526638;SOPAI HOSPITAL INFANTIL;-3.712746137655212;-38.56929409557734;Grande
5121957;ESCOLA CEARENSE DE OFTALMOLOGIA;-3.7956239778586878;-38.49213244905197;Pequeno
2480638;HOSPITAL DE OLHOS LEIRIA DE ANDRADE;-3.7389906538002506;-38.51482715233995;Pequeno
2480565;INSTITUTO DE CEGOS DO CEARA;-3.732019121665087;-38.55259386934222;Pequeno
2664364;HOSPITAL MUNICIPAL DOM ALOISIO LORSCHEIDER;-4.0423331657615575;-38.633679803750574;Pequeno
2333740;HOSPITAL MUNICIPAL DE GUARAMIRANGA;-4.261940775004908;-38.93172786357693;Pequeno
2664372;HOSPITAL MUNICIPAL ANTONIO CAVALCANTE DE QUEIROZ;-4.820369682908894;-38.82676823646113;Pequeno
5292190;HOSPITAL SAO VICENTE IESA;-6.363394402058099;-39.29676477248615;Medio
2414848;HOSPITAL MUNICIPAL CEL JOAO GOMES COUTINHO;-5.390571306166454;-40.302748862058245;Pequeno
2554771;HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS;-6.789129133256757;-38.7259767577818;Pequeno
2372673;UNID MISTA JOSEFA MA CONCEICAO;-4.6781002973549635;-37.82100685077229;Pequeno
2426730;HOSP MUNICIPAL DE JATI;-7.691576074060745;-39.00951886649605;Pequeno
2562499;HOSPITAL MATERNIDADE SAO LUCAS;-7.205665480644018;-39.31019262874244;Medio
2554518;HOSPITAL SAO VICENTE FERRER;-6.755822504665691;-38.95522751414177;Medio
2372207;HOSPITAL ANA LIMA;-3.850254296869324;-38.59617831874811;Pequeno
2414864;HOSP MATERN F FARIAS LEITAO;-4.789272972512497;-40.06605650167611;Pequeno
2563479;HOSPITAL MUNICIPAL DE MORRINHOS;-3.2269566189007146;-40.12116267632666;Pequeno
2561026;HOSP MUNIC DR CICERO F FILHO;-6.2153313768892735;-40.70275894678217;Medio
2664690;HOSPITAL MATERNIDADE DR ARAMIS PAIVA;-4.098724803011324;-39.23930623506502;Pequeno
2561409;HOSPITAL MUNICIPAL PEQUENO PORTE LUIZ ROBERTO PESSOA AIRES;-5.801388408397838;-39.41529272867741;Pequeno
2480050;MATERNIDADE QUITERIA DE LIMA;-5.844385614267259;-40.70334067753314;Pequeno
2328372;HOSPITAL INFANTIL N S DO PERPETUO SOCORRO;-5.1971286331511;-39.29598169121193;Medio
2425300;HOSPITAL DO CORACAO;-3.6858603099092186;-40.33685602520649;Medio
2426579;HOSPITAL MUNICIPAL ESTEVAM PONTE;-3.683624787915495;-40.346592550942376;Medio
2564580;UNID MISTA NOSSA SRA DAS ANGUSTIAS;-6.685169337449407;-39.757609643942324;Pequeno
2426218;HOSPITAL MUNICIPAL DR WALDEMAR DE ALCANTARA;-3.6056214181590556;-39.436019828560454;Pequeno
2499045;HOSPITAL DE PEQUENO PORTE DE UMARI ECILDA BARBOSA RIBEIRO;-6.649204084177439;-38.696708356786885;Pequeno
