HOSPITAL,INTERNACOES,CNES,PORTE,THRESHOLD,SOBRECARREGADO
HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,683,2479214,Grande,234.11877694421602,True
HGCC HOSPITAL GERAL DR CESAR CALS,56,2499363,Grande,234.11877694421602,False
HGF HOSPITAL GERAL DE FORTALEZA,37,2497654,Especial,,False
HOSPITAL GERAL DR WALDEMAR ALCANTARA,27,2785900,Grande,234.11877694421602,False
HOSPITAL REGIONAL DO CARIRI,17,6779522,Grande,234.11877694421602,False
HOSPITAL MUNICIPAL DE ACOPIARA PADRE CRISARES SAMPAIO COUTO,6,9275134,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,4,2611201,Pequeno,3.6847943704472943,True
HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,4,2664151,Pequeno,3.6847943704472943,True
HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,48,2564211,Grande,234.11877694421602,False
HOSPITAL DO CORACAO DO CARIRI,3,4010868,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL MONSENHOR DOURADO,3,2372819,Medio,14.342529949988894,False
HOSPITAL E MATERNIDADE REGIONAL SAO FRANCISCO,11,2527413,Medio,14.342529949988894,False
HOSP MUN ABELARDO GADELHA DA ROCHA,1,2562316,Medio,14.342529949988894,False
HOSPITAL SAO LUCAS,7,2585,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,11819,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,13838,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,15962,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2078023,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2118858,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2196972,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2211246,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2221543,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2272695,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2273101,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2328968,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2338181,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2375761,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2376318,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2376768,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2391570,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2429586,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2451158,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2470349,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2481073,Grande,234.11877694421602,False
HOSPITAL SAO LUCAS,7,2560070,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2571072,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2601583,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2666138,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2675951,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,2802120,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,3034704,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,4051181,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,6211402,Desconhecido,7.294694475021291,False
HOSPITAL SAO LUCAS,7,9436855,Desconhecido,7.294694475021291,False
HOSPITAL HAROLDO JUACABA,49,2723220,Medio,14.342529949988894,True
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,24,2561492,Grande,234.11877694421602,False
HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,3,5018110,Medio,14.342529949988894,False
HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,17,2806215,Grande,234.11877694421602,False
HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,12,2560828,Medio,14.342529949988894,False
HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,8,3302490,Medio,14.342529949988894,False
HOSP MATERN REG VALE DO CURU,4,2562138,Medio,14.342529949988894,False
HOSPITAL REGIONAL DR PONTES NETO,8,2328380,Medio,14.342529949988894,False
HOSPITAL E CASA DE SAUDE DE RUSSAS,22,2328003,Medio,14.342529949988894,True
HOSPITAL DR ALBERTO FEITOSA LIMA,16,2328046,Medio,14.342529949988894,True
HOSPITAL SAO RAIMUNDO,15,2415496,Medio,14.342529949988894,True
HOSPITAL SAO RAIMUNDO,15,2527707,Medio,14.342529949988894,True
HOSPITAL SAO RAIMUNDO,15,2562871,Medio,14.342529949988894,True
HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,1,2561417,Medio,14.342529949988894,False
