TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM
Cirurgia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,-3.7342646700838658,-38.531428645384175,0.5191363965634715
Cirurgia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2499363,HGCC HOSPITAL GERAL DR CESAR CALS,Grande,-3.726173,-38.5335661,1.0289187462939464
Cirurgia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2651394,SANTA CASA DE MISERICORDIA DE FORTALEZA,Grande,-3.7222056,-38.527551,1.1707020348669908
Cirurgia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2528843,HOSPITAL DISTRITAL DR FERNANDES TAVORA,Grande,-3.7126897010388378,-38.5729448506617,10.021332929719508
Cirurgia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2526638,SOPAI HOSPITAL INFANTIL,Grande,-3.712746137655212,-38.56929409557734,10.41962056820892
Cirurgia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,7047428,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,Grande,-3.762924043180869,-38.57404560561884,10.48942003129717
Cirurgia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,1.1579863344254673
Cirurgia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,7047428,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,Grande,-3.762924043180869,-38.57404560561884,13.079211521112677
Cirurgia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2561492,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Grande,-3.7493236,-38.5517676,15.609085926304928
Cirurgia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,135.41131036369504
Cirurgia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,136.6152196298462
Cirurgia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,138.2905235266553
Cirurgia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,6.930482449675582
Cirurgia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,8.135605348702041
Cirurgia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2563681,HIAS HOSPITAL INFANTIL ALBERT SABIN,Grande,-3.7627591,-38.5317896,16.44046821542996
Cirurgia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,6.891088864263658
Cirurgia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,7047428,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,Grande,-3.762924043180869,-38.57404560561884,18.824436603738167
Cirurgia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Grande,-3.7483734544606415,-38.55287956928848,21.592095200261692
Cirurgia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2481073,HOSPITAL SAO LUCAS,Grande,-5.182763636489275,-40.66716290409968,100.11767259298806
Cirurgia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2675560,HOSPITAL REGIONAL DE IGUATU,Grande,-6.3587958,-39.29805899999999,117.04833304834506
Cirurgia,231330,"TAUA, CE",17,15,0.8823529411764706,5,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,146.2258583106714
Cirurgia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,89.18104096235692
Cirurgia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,6848710,HOSPITAL REGIONAL NORTE,Grande,-3.67692037010037,-40.36864234828256,89.79403901972506
Cirurgia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,2528843,HOSPITAL DISTRITAL DR FERNANDES TAVORA,Grande,-3.7126897010388378,-38.5729448506617,114.39794183095053
Cirurgia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,42.12446765310631
Cirurgia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,43.26896507853814
Cirurgia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,50.3448914158815
Cirurgia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,14.717086367823185
Cirurgia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,16.465489452079492
Cirurgia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,17.432922690446674
Cirurgia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,6779522,HOSPITAL REGIONAL DO CARIRI,Grande,-7.2263193,-39.3254599,48.126315957092174
Cirurgia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2675560,HOSPITAL REGIONAL DE IGUATU,Grande,-6.3587958,-39.29805899999999,48.431953938071196
Cirurgia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2552086,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,Grande,-7.3119638,-39.3027232,57.55764932997584
Cirurgia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,85.72954434182108
Cirurgia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,6848710,HOSPITAL REGIONAL NORTE,Grande,-3.67692037010037,-40.36864234828256,86.80906813608424
Cirurgia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,108.98231006236358
Cirurgia,230195,"BARREIRA, CE",8,8,1.0,1,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,45.63940835133824
Cirurgia,230195,"BARREIRA, CE",8,8,1.0,1,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,53.78404464184347
Cirurgia,230195,"BARREIRA, CE",8,8,1.0,1,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,54.741207646761914
Cirurgia,231290,"SOBRAL, CE",20,7,0.35,3,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,1.0606934861613004
Cirurgia,231290,"SOBRAL, CE",20,7,0.35,3,6848710,HOSPITAL REGIONAL NORTE,Grande,-3.67692037010037,-40.36864234828256,1.6141089362521137
Cirurgia,231290,"SOBRAL, CE",20,7,0.35,3,2481073,HOSPITAL SAO LUCAS,Grande,-5.182763636489275,-40.66716290409968,170.13927479032765
Cirurgia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,37.285996334282366
Cirurgia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,37.98290478072103
Cirurgia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,39.147468585684614
Cirurgia,231130,"QUIXADA, CE",10,7,0.7,4,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,36.195215420780606
Cirurgia,231130,"QUIXADA, CE",10,7,0.7,4,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,128.79685854939396
Cirurgia,231130,"QUIXADA, CE",10,7,0.7,4,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,139.6264724820129
Cirurgia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,Grande,-5.1832747,-39.2616355,58.67244342296599
Cirurgia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2481073,HOSPITAL SAO LUCAS,Grande,-5.182763636489275,-40.66716290409968,109.50897081562073
Cirurgia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2675560,HOSPITAL REGIONAL DE IGUATU,Grande,-6.3587958,-39.29805899999999,110.71641590102627
