TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM
Intercorrencia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,-3.7342646700838658,-38.531428645384175,0.5191363965634715
Intercorrencia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2499363,HGCC HOSPITAL GERAL DR CESAR CALS,Grande,-3.726173,-38.5335661,1.0289187462939464
Intercorrencia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2651394,SANTA CASA DE MISERICORDIA DE FORTALEZA,Grande,-3.7222056,-38.527551,1.1707020348669908
Intercorrencia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,1.80895922151624
Intercorrencia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2562545,HOSP MATERNIDADE SANTA TEREZINHA,Medio,-3.77188570755924,-38.62652155369603,6.251785129580701
Intercorrencia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2482339,HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,Medio,-3.770490438240333,-38.61619168930962,6.922238960909008
Intercorrencia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,1.1579863344254673
Intercorrencia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2372207,HOSPITAL ANA LIMA,Pequeno,-3.850254296869324,-38.59617831874811,3.911938450894299
Intercorrencia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2372150,ABEMP,Medio,-3.8631455122918097,-38.58663872259474,4.454290182359145
Intercorrencia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2526662,HOSPITAL MUNICIPAL JOAQUIM MANOEL OLIVEIRA,Pequeno,-5.074420477760048,-37.98889649191031,14.855184509607122
Intercorrencia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2560976,HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,Pequeno,-4.839481789883542,-37.78442368313681,24.087402680498613
Intercorrencia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,27.505546177814036
Intercorrencia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,2.6046330506397366
Intercorrencia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2333848,HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,Pequeno,-3.8321166,-38.4801848,6.930482449675582
Intercorrencia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,6.930482449675582
Intercorrencia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,6.891088864263658
Intercorrencia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2372207,HOSPITAL ANA LIMA,Pequeno,-3.850254296869324,-38.59617831874811,10.795679804315066
Intercorrencia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2372150,ABEMP,Medio,-3.8631455122918097,-38.58663872259474,11.276804849611336
Intercorrencia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2328038,HOSPITAL MUNICIPAL DE ARNEIROZ,Pequeno,-6.317314357252552,-40.16482268844805,37.75426010010851
Intercorrencia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2480050,MATERNIDADE QUITERIA DE LIMA,Pequeno,-5.844385614267259,-40.70334067753314,48.532733797096434
Intercorrencia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2333864,HOSPITAL MUNICIPAL DR GENTIL DOMINGUES,Pequeno,-6.13250850508639,-39.87490112838592,48.585151314899775
Intercorrencia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,153087,HOSPITAL REGIONAL DE ITAPIPOCA,Pequeno,-3.496565572849428,-39.59765856838256,1.9280722577609062
Intercorrencia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,2560836,HOSP MUNIC ANTONIO NERY FILHO,Pequeno,-3.625982250778792,-39.50708121988825,16.71051857221691
Intercorrencia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,2562146,HOSPITAL MUNICIPAL ROQUE SILVA MOTA,Pequeno,-3.675980365431492,-39.58484718363126,20.162079515320375
Intercorrencia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2514710,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,Medio,-4.130368096161592,-38.23726026666231,1.089183816543453
Intercorrencia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2564769,HOSPITAL E CENTRO DE PARTO NORMAL DE PINDORETAMA,Pequeno,-4.0304585,-38.3036892,12.839110619570246
Intercorrencia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2372819,HOSPITAL MUNICIPAL MONSENHOR DOURADO,Medio,-4.181112008182183,-38.13127361007147,13.989811408799861
Intercorrencia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2724308,HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,Pequeno,-3.972865399999999,-38.5211706,0.9432986336928395
Intercorrencia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2373270,HOSPITAL RAIMUNDO CELIO RODRIGUES,Medio,-3.9824484,-38.619293,10.020303866159534
Intercorrencia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,13.08403681226513
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,3384993,HOSPITAL MUNICIPAL DE GRANJEIRO,Pequeno,-6.889104799999999,-39.2255098,13.244766501687463
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2425343,HOSP MATERN GERALDO L BOTELHO,Pequeno,-7.039834011970959,-39.27653970233924,27.400660553346146
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2499029,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,Medio,-6.6072928,-39.0651707,33.09056753224849
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562154,HOSP MATERN JOAO FERREIRA GOMES,Pequeno,-3.6817330937815633,-39.58909234126292,0.4274410233077721
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562146,HOSPITAL MUNICIPAL ROQUE SILVA MOTA,Pequeno,-3.675980365431492,-39.58484718363126,0.9574252956315653
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2560836,HOSP MUNIC ANTONIO NERY FILHO,Pequeno,-3.625982250778792,-39.50708121988825,10.940479953688433
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2373475,HOSPITAL DE BARREIRA,Pequeno,-4.279981753263235,-38.63631880308223,1.0790650441612981
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2664666,HOSP MATERN PAULO SARASATE,Medio,-4.224501286840884,-38.72827271402963,11.979238061656849
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2554755,HOSPITAL MUNICIPAL DE CHOROZINHO,Pequeno,-4.300184799999999,-38.49822200000001,15.914547408627813
