TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM
Tratamento Clinico,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,-3.7342646700838658,-38.531428645384175,0.5191363965634715
Tratamento Clinico,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2499363,HGCC HOSPITAL GERAL DR CESAR CALS,Grande,-3.726173,-38.5335661,1.0289187462939464
Tratamento Clinico,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2651394,SANTA CASA DE MISERICORDIA DE FORTALEZA,Grande,-3.7222056,-38.527551,1.1707020348669908
Tratamento Clinico,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,1.80895922151624
Tratamento Clinico,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2562545,HOSP MATERNIDADE SANTA TEREZINHA,Medio,-3.77188570755924,-38.62652155369603,6.251785129580701
Tratamento Clinico,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2482339,HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO,Medio,-3.770490438240333,-38.61619168930962,6.922238960909008
Tratamento Clinico,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,1.1579863344254673
Tratamento Clinico,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2372150,ABEMP,Medio,-3.8631455122918097,-38.58663872259474,4.454290182359145
Tratamento Clinico,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2529068,HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER,Medio,-3.8306611201892906,-38.55699830224167,8.7683415082354
Tratamento Clinico,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,27.505546177814036
Tratamento Clinico,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2527693,CASA DE SAUDE MATERNIDADE CELESTINA COLARES,Medio,-5.250982695891236,-38.13391455864896,38.5972889089321
Tratamento Clinico,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,3302490,HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,Medio,-5.104074499999999,-38.3627461,46.47386297224527
Tratamento Clinico,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,2.6046330506397366
Tratamento Clinico,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,Grande,-3.8321166,-38.4801848,6.930482449675582
Tratamento Clinico,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA,Grande,-3.8218113889269687,-38.4836803296976,8.135605348702041
Tratamento Clinico,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,6.891088864263658
