MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,PERC_PARA_SOBRECARREGADO
230440,"FORTALEZA, CE",511,412,13,0.8062622309197651
230370,"CAUCAIA, CE",44,36,7,0.8181818181818182
230765,"MARACANAU, CE",46,29,5,0.6304347826086957
231180,"RUSSAS, CE",29,27,5,0.9310344827586207
230428,"EUSEBIO, CE",21,19,3,0.9047619047619048
230770,"MARANGUAPE, CE",17,16,3,0.9411764705882353
231330,"TAUA, CE",17,15,5,0.8823529411764706
230640,"ITAPIPOCA, CE",18,13,2,0.7222222222222222
230350,"CASCAVEL, CE",13,12,2,0.9230769230769231
230625,"ITAITINGA, CE",13,11,3,0.8461538461538461
231400,"VARZEA ALEGRE, CE",12,10,2,0.8333333333333334
230630,"ITAPAGE, CE",9,8,2,0.8888888888888888
230195,"BARREIRA, CE",8,8,1,1.0
231290,"SOBRAL, CE",20,7,3,0.35
230960,"PACAJUS, CE",13,7,3,0.5384615384615384
231130,"QUIXADA, CE",10,7,4,0.7
231050,"PEDRA BRANCA, CE",9,7,2,0.7777777777777778
231350,"TRAIRI, CE",9,7,3,0.7777777777777778
230100,"AQUIRAZ, CE",7,7,1,1.0
231140,"QUIXERAMOBIM, CE",16,6,4,0.375
230140,"ARATUBA, CE",6,6,1,1.0
230870,"MORADA NOVA, CE",14,5,5,0.35714285714285715
230550,"IGUATU, CE",10,5,3,0.5
230540,"ICO, CE",9,5,2,0.5555555555555556
230760,"LIMOEIRO DO NORTE, CE",9,5,5,0.5555555555555556
230120,"ARACOIABA, CE",8,5,4,0.625
230523,"HORIZONTE, CE",7,5,4,0.7142857142857143
230495,"GUAIUBA, CE",5,5,2,1.0
231030,"PARAMBU, CE",5,5,1,1.0
231270,"SENADOR POMPEU, CE",13,4,3,0.3076923076923077
231150,"QUIXERE, CE",8,4,3,0.5
230700,"JAGUARUANA, CE",5,4,3,0.8
231025,"PARAIPABA, CE",4,4,1,1.0
231085,"PINDORETAMA, CE",4,4,1,1.0
230420,"CRATO, CE",12,3,4,0.25
230110,"ARACATI, CE",7,3,2,0.42857142857142855
230240,"BOA VIAGEM, CE",7,3,2,0.42857142857142855
230740,"JUCAS, CE",4,3,2,0.75
231090,"PIQUET CARNEIRO, CE",4,3,2,0.75
230185,"BANABUIU, CE",3,3,1,1.0
