MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,PERC_PARA_SOBRECARREGADO,MUNICIPIO_NORM,LAT_MUNICIPIO,LON_MUNICIPIO
230440,"FORTALEZA, CE",511,412,13,0.8062622309197651,"FORTALEZA, CE",-3.7327203,-38.5270134
230370,"CAUCAIA, CE",44,36,7,0.8181818181818182,"CAUCAIA, CE",-3.7281443,-38.6619214
230765,"MARACANAU, CE",46,29,5,0.6304347826086957,"MARACANAU, CE",-3.8682838,-38.6264568
231180,"RUSSAS, CE",29,27,5,0.9310344827586207,"RUSSAS, CE",-4.9414188,-37.976262
230428,"EUSEBIO, CE",21,19,3,0.9047619047619048,"EUSEBIO, CE",-3.8890009,-38.4546539
230770,"MARANGUAPE, CE",17,16,3,0.9411764705882353,"MARANGUAPE, CE",-3.8917126,-38.6841701
231330,"TAUA, CE",17,15,5,0.8823529411764706,"TAUA, CE",-6.0032698,-40.2946389
230640,"ITAPIPOCA, CE",18,13,2,0.7222222222222222,"ITAPIPOCA, CE",-3.4947131,-39.5803861
230350,"CASCAVEL, CE",13,12,2,0.9230769230769231,"CASCAVEL, CE",-4.1311575,-38.2470491
230625,"ITAITINGA, CE",13,11,3,0.8461538461538461,"ITAITINGA, CE",-3.9717463,-38.52959999999999
231400,"VARZEA ALEGRE, CE",12,10,2,0.8333333333333334,"VARZEA ALEGRE, CE",-6.7943548,-39.2982103
230630,"ITAPAGE, CE",9,8,2,0.8888888888888888,"ITAPAGE, CE",-3.6844551,-39.58637239999999
230195,"BARREIRA, CE",8,8,1,1.0,"BARREIRA, CE",-4.2883444,-38.6412559
231290,"SOBRAL, CE",20,7,3,0.35,"SOBRAL, CE",-3.6844057,-40.35617939999999
230960,"PACAJUS, CE",13,7,3,0.5384615384615384,"PACAJUS, CE",-4.1733126,-38.4637749
231130,"QUIXADA, CE",10,7,4,0.7,"QUIXADA, CE",-4.9684385,-39.0161259
231050,"PEDRA BRANCA, CE",9,7,2,0.7777777777777778,"PEDRA BRANCA, CE",-5.4542087,-39.716378
231350,"TRAIRI, CE",9,7,3,0.7777777777777778,"TRAIRI, CE",-3.2781386,-39.2684399
230100,"AQUIRAZ, CE",7,7,1,1.0,"AQUIRAZ, CE",-3.906286399999999,-38.3874738
231140,"QUIXERAMOBIM, CE",16,6,4,0.375,"QUIXERAMOBIM, CE",-5.1982962,-39.2955312
230140,"ARATUBA, CE",6,6,1,1.0,"ARATUBA, CE",-4.4194845,-39.0463956
230870,"MORADA NOVA, CE",14,5,5,0.35714285714285715,"MORADA NOVA, CE",-5.1084179,-38.3720034
230550,"IGUATU, CE",10,5,3,0.5,"IGUATU, CE",-6.3587958,-39.29805899999999
230540,"ICO, CE",9,5,2,0.5555555555555556,"ICO, CE",-6.4005677,-38.8571841
230760,"LIMOEIRO DO NORTE, CE",9,5,5,0.5555555555555556,"LIMOEIRO DO NORTE, CE",-5.1467293,-38.0964766
230120,"ARACOIABA, CE",8,5,4,0.625,"ARACOIABA, CE",-4.371982,-38.8104556
230523,"HORIZONTE, CE",7,5,4,0.7142857142857143,"HORIZONTE, CE",-4.0986551,-38.4950658
230495,"GUAIUBA, CE",5,5,2,1.0,"GUAIUBA, CE",-4.0423571,-38.6335289
231030,"PARAMBU, CE",5,5,1,1.0,"PARAMBU, CE",-6.2135387,-40.69657249999999
231270,"SENADOR POMPEU, CE",13,4,3,0.3076923076923077,"SENADOR POMPEU, CE",-5.5874425,-39.373166
231150,"QUIXERE, CE",8,4,3,0.5,"QUIXERE, CE",-5.0728291,-37.9894863
230700,"JAGUARUANA, CE",5,4,3,0.8,"JAGUARUANA, CE",-4.8378331,-37.7828916
231025,"PARAIPABA, CE",4,4,1,1.0,"PARAIPABA, CE",-3.43766,-39.1482338
231085,"PINDORETAMA, CE",4,4,1,1.0,"PINDORETAMA, CE",-4.0304585,-38.3036892
230420,"CRATO, CE",12,3,4,0.25,"CRATO, CE",-7.229957199999999,-39.4122984
230110,"ARACATI, CE",7,3,2,0.42857142857142855,"ARACATI, CE",-4.5612094,-37.7688612
230240,"BOA VIAGEM, CE",7,3,2,0.42857142857142855,"BOA VIAGEM, CE",-5.1259747,-39.7309496
230740,"JUCAS, CE",4,3,2,0.75,"JUCAS, CE",-6.520597599999999,-39.5245509
231090,"PIQUET CARNEIRO, CE",4,3,2,0.75,"PIQUET CARNEIRO, CE",-5.8036204,-39.41709549999999
230185,"BANABUIU, CE",3,3,1,1.0,"BANABUIU, CE",-5.306357999999999,-38.9203167
230730,"JUAZEIRO DO NORTE, CE",23,2,4,0.08695652173913043,"JUAZEIRO DO NORTE, CE",-7.224205400000001,-39.3130162
230020,"ACARAU, CE",10,2,3,0.2,"ACARAU, CE",-2.8979192,-40.11921770000001
231240,"SAO GONCALO DO AMARANTE, CE",8,2,3,0.25,"SAO GONCALO DO AMARANTE, CE",-3.6072866,-38.96838839999999
230930,"NOVA RUSSAS, CE",7,2,2,0.2857142857142857,"NOVA RUSSAS, CE",-4.7066511,-40.5626139
230425,"CRUZ, CE",5,2,2,0.4,"CRUZ, CE",-2.9220001,-40.1758022
230590,"IPUEIRAS, CE",4,2,3,0.5,"IPUEIRAS, CE",-4.5425528,-40.71728780000001
230600,"IRACEMA, CE",4,2,2,0.5,"IRACEMA, CE",-5.810713499999999,-38.3040228
230680,"JAGUARIBARA, CE",4,2,4,0.5,"JAGUARIBARA, CE",-5.460287399999999,-38.462624
231135,"QUIXELO, CE",4,2,3,0.5,"QUIXELO, CE",-6.2525243,-39.19886169999999
230470,"GRANJA, CE",3,2,2,0.6666666666666666,"GRANJA, CE",-3.1184636,-40.8303492
231080,"PEREIRO, CE",3,2,2,0.6666666666666666,"PEREIRO, CE",-6.043627499999999,-38.460721
231310,"TABULEIRO DO NORTE, CE",3,2,3,0.6666666666666666,"TABULEIRO DO NORTE, CE",-5.2442316,-38.1286594
230015,"ACARAPE, CE",2,2,1,1.0,"ACARAPE, CE",-4.221207647425881,-38.70510509573708
230395,"CHOROZINHO, CE",2,2,1,1.0,"CHOROZINHO, CE",-4.300184799999999,-38.49822200000001
230460,"GENERAL SAMPAIO, CE",2,2,1,1.0,"GENERAL SAMPAIO, CE",-4.0506821,-39.4490475
231335,"TEJUCUOCA, CE",2,2,1,1.0,"TEJUCUOCA, CE",-3.9891072,-39.5790522
230280,"CANINDE, CE",13,1,3,0.07692307692307693,"CANINDE, CE",-4.3580483,-39.3137344
231340,"TIANGUA, CE",6,1,3,0.16666666666666666,"TIANGUA, CE",-3.730929199999999,-40.9927503
230220,"BEBERIBE, CE",4,1,2,0.25,"BEBERIBE, CE",-4.1828786,-38.1300362
231320,"TAMBORIL, CE",4,1,2,0.25,"TAMBORIL, CE",-4.8331595,-40.3212536
230260,"CAMOCIM, CE",3,1,3,0.3333333333333333,"CAMOCIM, CE",-2.9008418,-40.84209999999999
230950,"OROS, CE",3,1,2,0.3333333333333333,"OROS, CE",-6.242852699999999,-38.9141055
231230,"SAO BENEDITO, CE",3,1,3,0.3333333333333333,"SAO BENEDITO, CE",-4.0449071,-40.8651372
231300,"SOLONOPOLE, CE",3,1,2,0.3333333333333333,"SOLONOPOLE, CE",-5.733074999999999,-39.0099963
230210,"BATURITE, CE",2,1,2,0.5,"BATURITE, CE",-4.3313286,-38.8789563
230670,"JAGUARETAMA, CE",2,1,2,0.5,"JAGUARETAMA, CE",-5.6092555,-38.7629945
230690,"JAGUARIBE, CE",2,1,2,0.5,"JAGUARIBE, CE",-5.8927263,-38.6219897
