TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM,LAT_MUNICIPIO,LON_MUNICIPIO
Intercorrencia,230100,"AQUIRAZ, CE",7,7,1.0,1,2561395,HOSP GERAL MANUEL ASSUNCAO PIRES,Pequeno,-3.9049958,-38.3841268,0.39807293496522705,-3.906286399999999,-38.3874738
Intercorrencia,230195,"BARREIRA, CE",8,8,1.0,1,2373475,HOSPITAL DE BARREIRA,Pequeno,-4.279981753263235,-38.63631880308223,1.0790650441612981,-4.2883444,-38.6412559
Intercorrencia,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2514710,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,Medio,-4.130368096161592,-38.23726026666231,1.089183816543453,-4.1311575,-38.2470491
Intercorrencia,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,1.80895922151624,-3.7281443,-38.6619214
Intercorrencia,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,2.6046330506397366,-3.8890009,-38.4546539
Intercorrencia,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,-3.7342646700838658,-38.531428645384175,0.5191363965634715,-3.7327203,-38.5270134
Intercorrencia,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2724308,HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,Pequeno,-3.972865399999999,-38.5211706,0.9432986336928395,-3.9717463,-38.52959999999999
Intercorrencia,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562154,HOSP MATERN JOAO FERREIRA GOMES,Pequeno,-3.6817330937815633,-39.58909234126292,0.4274410233077721,-3.6844551,-39.58637239999999
Intercorrencia,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,153087,HOSPITAL REGIONAL DE ITAPIPOCA,Pequeno,-3.496565572849428,-39.59765856838256,1.9280722577609062,-3.4947131,-39.5803861
Intercorrencia,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,1.1579863344254673,-3.8682838,-38.6264568
Intercorrencia,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,6.891088864263658,-3.8917126,-38.6841701
Intercorrencia,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,0.5208707287435445,-4.1733126,-38.4637749
Intercorrencia,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,0.5041211401348925,-5.4542087,-39.716378
Intercorrencia,231130,"QUIXADA, CE",10,7,0.7,4,2328399,HOSPITAL E MATERNIDADE JESUS MARIA JOSE HMJMJ,Medio,-4.9669795,-39.0245184,0.9437468049040196,-4.9684385,-39.0161259
Intercorrencia,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,Medio,-5.1971286331511,-39.29598169121193,0.13908210214405595,-5.1982962,-39.2955312
Intercorrencia,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,2526662,HOSPITAL MUNICIPAL JOAQUIM MANOEL OLIVEIRA,Pequeno,-5.074420477760048,-37.98889649191031,14.855184509607122,-4.9414188,-37.976262
Intercorrencia,231290,"SOBRAL, CE",20,7,0.35,3,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,1.0606934861613004,-3.6844057,-40.35617939999999
Intercorrencia,231330,"TAUA, CE",17,15,0.8823529411764706,5,2328038,HOSPITAL MUNICIPAL DE ARNEIROZ,Pequeno,-6.317314357252552,-40.16482268844805,37.75426010010851,-6.0032698,-40.2946389
Intercorrencia,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2479710,HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO,Pequeno,-3.2743437241450235,-39.26517784010534,0.5560564948589359,-3.2781386,-39.2684399
Intercorrencia,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,3384993,HOSPITAL MUNICIPAL DE GRANJEIRO,Pequeno,-6.889104799999999,-39.2255098,13.244766501687463,-6.7943548,-39.2982103
