TIPO_PROC,MUNIC_RES,MUNICIPIO,TOTAL_INTERNACOES,INTERNACOES_PARA_SOBRECARREGADO,PERC_PARA_SOBRECARREGADO,QTD_HOSPITAIS_DESTINO,CNES_CANDIDATO,HOSPITAL_CANDIDATO,PORTE_CANDIDATO,LAT_HOSPITAL_CANDIDATO,LON_HOSPITAL_CANDIDATO,DISTANCIA_KM,LAT_MUNICIPIO,LON_MUNICIPIO
Tratamento Clinico,230100,"AQUIRAZ, CE",7,7,1.0,1,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,9.899431662621165,-3.906286399999999,-38.3874738
Tratamento Clinico,230195,"BARREIRA, CE",8,8,1.0,1,2664666,HOSP MATERN PAULO SARASATE,Medio,-4.224501286840884,-38.72827271402963,11.979238061656849,-4.2883444,-38.6412559
Tratamento Clinico,230350,"CASCAVEL, CE",13,12,0.9230769230769232,2,2514710,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,Medio,-4.130368096161592,-38.23726026666231,1.089183816543453,-4.1311575,-38.2470491
Tratamento Clinico,230370,"CAUCAIA, CE",44,36,0.8181818181818182,7,2562316,HOSP MUN ABELARDO GADELHA DA ROCHA,Medio,-3.7391831,-38.6499459,1.80895922151624,-3.7281443,-38.6619214
Tratamento Clinico,230428,"EUSEBIO, CE",21,19,0.9047619047619048,3,2611295,HOSPITAL MUNICIPAL DOUTOR AMADEU SA,Medio,-3.8706513504807054,-38.46924684707703,2.6046330506397366,-3.8890009,-38.4546539
Tratamento Clinico,230440,"FORTALEZA, CE",511,412,0.8062622309197651,13,2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,Especial,-3.7342646700838658,-38.531428645384175,0.5191363965634715,-3.7327203,-38.5270134
Tratamento Clinico,230625,"ITAITINGA, CE",13,11,0.8461538461538461,3,2373270,HOSPITAL RAIMUNDO CELIO RODRIGUES,Medio,-3.9824484,-38.619293,10.020303866159534,-3.9717463,-38.52959999999999
Tratamento Clinico,230630,"ITAPAGE, CE",9,8,0.8888888888888888,2,2562138,HOSP MATERN REG VALE DO CURU,Medio,-3.793352047131117,-39.27346932044814,36.770148641609296,-3.6844551,-39.58637239999999
Tratamento Clinico,230640,"ITAPIPOCA, CE",18,13,0.7222222222222222,2,2562138,HOSP MATERN REG VALE DO CURU,Medio,-3.793352047131117,-39.27346932044814,47.56783237896271,-3.4947131,-39.5803861
Tratamento Clinico,230765,"MARACANAU, CE",46,29,0.6304347826086957,5,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,1.1579863344254673,-3.8682838,-38.6264568
Tratamento Clinico,230770,"MARANGUAPE, CE",17,16,0.9411764705882352,3,2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,-3.878280299999999,-38.6235309,6.891088864263658,-3.8917126,-38.6841701
Tratamento Clinico,230960,"PACAJUS, CE",13,7,0.5384615384615384,3,2427176,HOSPITAL JOSE MARIA PHILOMENO GOMES,Medio,-4.1718324,-38.468231,0.5208707287435445,-4.1733126,-38.4637749
Tratamento Clinico,231050,"PEDRA BRANCA, CE",9,7,0.7777777777777778,2,2723255,HOSPITAL MUNICIPAL SAO SEBASTIAO E MATERNIDADE CELIA MENDES,Medio,-5.458738599999999,-39.71656369999999,0.5041211401348925,-5.4542087,-39.716378
Tratamento Clinico,231130,"QUIXADA, CE",10,7,0.7,4,2328399,HOSPITAL E MATERNIDADE JESUS MARIA JOSE HMJMJ,Medio,-4.9669795,-39.0245184,0.9437468049040196,-4.9684385,-39.0161259
Tratamento Clinico,231140,"QUIXERAMOBIM, CE",16,6,0.375,4,2328372,HOSPITAL INFANTIL N S DO PERPETUO SOCORRO,Medio,-5.1971286331511,-39.29598169121193,0.13908210214405595,-5.1982962,-39.2955312
Tratamento Clinico,231180,"RUSSAS, CE",29,27,0.9310344827586208,5,9672427,HOSPITAL REGIONAL VALE DO JAGUARIBE,Medio,-5.119815697481895,-38.148281510879,27.505546177814036,-4.9414188,-37.976262
Tratamento Clinico,231290,"SOBRAL, CE",20,7,0.35,3,3021114,SANTA CASA DE MISERICORDIA DE SOBRAL,Grande,-3.6935491,-40.3589038,1.0606934861613004,-3.6844057,-40.35617939999999
Tratamento Clinico,231330,"TAUA, CE",17,15,0.8823529411764706,5,2561026,HOSP MUNIC DR CICERO F FILHO,Medio,-6.2153313768892735,-40.70275894678217,50.91286977899568,-6.0032698,-40.2946389
Tratamento Clinico,231350,"TRAIRI, CE",9,7,0.7777777777777778,3,2427125,HOSP GERAL LUIZA ALCANTARA SILVA,Medio,-3.607021411057896,-38.9621899261819,49.92819445633897,-3.2781386,-39.2684399
Tratamento Clinico,231400,"VARZEA ALEGRE, CE",12,10,0.8333333333333334,2,2499029,HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,Medio,-6.6072928,-39.0651707,33.09056753224849,-6.7943548,-39.2982103
